review,sentiment
"This film is a total bore. Entrapment is way better in all aspects, plot, acting, stunts, etc. Plus the soundtrack is one of the most annoying I've ever heard. I was close to muting the film just to shut it up. 3 out of 10 stars ***",negative
"A dark, yet humorous tale involving a cop who has a first hand experience with vampires and decides he must quit his job to pursue these evil beings.Most of the film contained questionable acting,plot, props, and filming. The fight scenes were as hokey as a middle schooler's rendition of a WWII battle. The lines delivered were spoken as if the actors had no motivation for being there. The props were bad because they did not even look like they could function in the slightest amount. the majority of the film appeared to be shot in someones basement (in some scenes you could see the rafters overhead in a scene that was not supposed to look like that of a basement). The plot had no motivation to move forward or go backwards, it just appeared to stand still at times with no reason for some characters actions. I felt at times the sounds effects were out of place for this horror type genre and more of a cartoon series. It is similar to the movie Blade, in that he is an African American vampire hunter. However, that is where all similarities end, and the movie looks closer to a Saturday Night Live spoof.",negative
"Before seeing this picture I was quite skeptic, I don't like movies with an agenda nor do I appreciate being scared into thinking like the writer. I was also afraid this would be like the 2-part mini-series ""10.4"" which had a far-fetched concept, little relation to the real world and very poor execution. At the beginning is says: ""This film is fiction, but the events portrayed and the information about UK emergency planning are based on extensive research""; and the general feeling is that you're not being sold on an idea, but that you're being taught a lesson in civil awareness. The message that is being conveyed is obvious from the start: It is coming and we're not prepared. The use of real places and a scenario which not only could happen - There are plans for when it does - all add to the disturbing effect the movie will have, on even the most cynical of viewers. The movie's perspective is that of the society and it stays away from heart-breaking personal moments, which won't convey the message, so none of the Romeo-Juliet drama we're used to.",positive
"Obviously Raw Feed Video is smarter than all of us who wasted our money renting this flick! They will make millions from video rentals and their low budget investment is going to pay off big, which will finance ""Rest Stop II"" (unfortunately). I figure they spent a maximum of a few hundred thousand dollars American to hire the actors, rent the rest stop locale and burn a truck and drag a motorcycle along behind the truck for a bit plus pay for the technical stuff. That's it. We should all be as smart as these guys, I won't knock them for having the genius to promote a stinker into good monetary returns. Premise of the movie was good, and it could have been a really adequate horror movie, but it failed by not delivering a clear story line. I am always looking for a gem from the upstart film companies, but I didn't find it here and neither will you. I'm only sorry I wasted $3.99 plus tax to find out.",negative
"This film fails on many many levels. The script is the first failing, and as I understand it, if the script stinks, there's nothing that can fix that. The plot is boring, after the first 45 minutes, I'm looking at the counter on the DVD saying to myself, ""how much longer?"" The cinematography is pretty awful. I'm not sure how bad the transfer was to DVD, but it looked like a VHS copy. Also, the sound was bad. I realize this isn't going to get remixed for 5.1, but yikes, it didn't even sound like it was in Dolby Stereo which had been around for almost a decade when they cut this film.<br /><br />Slipstream was far too similar to both Mad Max and Blade Runner for comfort. Because of the lack of decent special effects and high quality dialog, it is extremely disappointing. If I recall, the pointer scene took place during the last 20 minutes, usually it should take place in the first 20. Most people will be totally confused as to what the heck is going on until the final 20 minutes.<br /><br />The film's music was excellent in parts, and then completely inappropriate in others. Elmer Bernstien did the scoring, but it sounds like someone else had a hand in sticking in 'other' stuff elsewhere as it doesn't match the overall good orchestral score (with some synthesizer music.)<br /><br />There were great actors cast, Bob Peck, Mark Hamill, Ben Kingsley, Bill Paxton. And they did a great job breathing the little available life into their characters. (Well, Paxton's character was pretty stupid, and the whole movie was centered on him. I'm not sure a heroic stooge is a good choice for the main character who carries the film.) Again, a major flaw with the script.<br /><br />Thank goodness I watched this from a mail order DVD service, and not the theater. Overall a major disappointment for Sci-fi fans, or fans of Paxton, or Hamill. 90 minutes of your life, you'll never get back.",negative
"Although I had previously watched this one some time ago on Italian TV, I found it to be a surprisingly tolerable potboiler this time round, buoyed by an international cast of familiar faces (including a bemused Joseph Cotten as the Baron) and, contrary to many another film of the Euro-Cult sub-genre, an incident-packed plot in place of lethargic pacing.<br /><br />The creature itself looks a bit dodgy and Cotten is a bit too old to be taken seriously as an eager scientist still dabbling in creating life-forms out of corpses (one would have thought that he would have made himself an army of them by now and not struggling at perfecting his technique still) but Ms. Neri does look good in and out of costume and reliable Herbert Fux probably comes off best as a lecherous grave-robber/blackmailer.",negative
"The only Riddle in this film was how it ever got made. the British film Industry needs to make films people actually want to watch and not look to get Taxpayers money (a'la BBC) to keep Luvvies in their life style they have been accustomed to, with doing nothing for it.<br /><br />the Film was every thing wrong with British Films it relied on stereotypes, it had to be about a London were people were either Posh and corrupt, Gangsters, Luvvies or gawd blimey jellied eel types, the story script was just pathetically weak, to the extent when the Police man pulled out his phone and the ring tone was the ""Sweeney "" theme I just expected it. The whole film was a happy shopper sweeney / Minder rip off.<br /><br />the priceless manuscript I noted got left behind and lost on a few occasions and is something even I with my limited street wiseness wouldn't carry around in my breast pocket every where, to the beach and fights etc Saying that Vinnie Jones is likable which is about the only thing in the film, poor bloke.<br /><br />When Derek Jacobi walked into the water at the end because he was Dickens, oh my god, what a load of crap, and I am being positive here",negative
"This movie was a complete waste of time. The soundtrack was bad, story was lame and predictable, and the acting was terrible. One of the worst 25 movies I have ever seen. After the first ten minutes, the rest of the film was completely obvious.",negative
"It was praised to be a fast paced screwball comedy and the best German movie of the year, so I gave it a try, even though I've already seen some films by Dani Levy - or at least parts of them.<br /><br />I got what I had expected: no comedy at all, unless you think that heart attacks are funny. It's a fine example of sloppy screen writing, with an implausible plot and characters, loaded with clichés that might be true, but surely are not funny either.<br /><br />The most annoying character is that of Zucker's wife, played by Hannelore Elsner. She has to behave incredibly strange to keep the plot moving. For example: She doesn't know a single thing about Judaism, but by reasons most likely unknown to even herself she gets the idea to play the charade that she and her family are Jewish laws obeying Jews for her husband's family, who really are, and of the very orthodox and self-righteous variety. To make it a bit more complicated, she invites the four of them to stay at her city flat, because they arrive from Frankfurt in Berlin without having booked their hotels in advance, something no 60 years old business man, actually no grown-up German would ever do. This gives the viewer a lot to swallow, but still fails to produce any jokes.<br /><br />Zucker and his brother Samuel haven't seen each other for forty years, but it turns out that his daughter - now a lesbian - and Samuel's son - now a militant orthodox - were once lovers, and he's HER daughter's father. Samuel's daughter - a nympho - goes after Zucker's gay son. Is this supposed to be a somehow humorous parody of Jewish incestuous tendencies? Probably it's just a thoughtless way to add some ""love action turbulence"" every screwball comedy needs. And of course is also fails to produce any jokes.<br /><br />The praise for this movie is purely political. Therefore only people who enjoy watching movies that are supposed to be ""politically important"" will enjoy this one - even though ""Alles auf Zucker!"" quite clearly has no importance of any kind.<br /><br />For all the rest: Don't watch it without a ""Fast forward""-option. I really missed it.",negative
"Reading the other two comments, I had to wonder if I had seen the same movie!<br /><br />Perhaps life is drastically different in Australia, but, wow - call it sci-fi or fantasy, but people just don't act like this.<br /><br />I couldn't pass up this review without commenting on it myself.. it gets better after the first half hour, but I doubt most could make it that far..<br /><br />Yikes.",negative
"Every great once in a while, you stumble upon a movie that exceeds even your wildest expectations. Given the IMDb rating of 4.0, I wasn't really expecting much with The Brotherhood of Satan. I hoped that at a minimum it might be cheesy fun like The Devil's Rain or any of the other early 70s similarly themed Satanic horror films. I couldn't' have been more wrong. What I got instead was an ambitious and intelligent film with a cast I really enjoyed. Speaking in broad terms to avoid giving anything away, the film's style and structure are much more experimental than the straightforward storytelling so prominent in the early 70s. The Brotherhood of Satan doesn't beat you over the head with plot points and explanations. A lot is left to the viewer to fill in the blanks. As a viewer, you know something is amiss, but for the longest period you're just not sure what it is. The unknown helps make for a far creepier atmosphere than most similar films. The ending is effective with its surreal imagery. I sat in amazement as the final credits began to roll. Those wanting a big slam-bang finale will be disappointed with the ending's simplicity. A lesser film would have tried to pull out all the stops and would, most likely, have failed miserably.<br /><br />There are moments in the film where it's easy to forget the director, Bernard McEveety, had primarily worked in television before The Brotherhood of Satan. There are a few scenes that are so well set-up, lit, and shot that even the most accomplished of directors could learn a thing or two. For example, I've seen enough films over the years to realize that directors can sometimes seem to have trouble shooting widescreen shots indoors. Not here. The scene where the men are discussing their plan of action in the sheriff's office is amazing. We see all five men at once  each doing their own thing as in real life. In a lesser film, we might see all the men at once, but each would be motionless, quietly waiting their turn to deliver their dialogue. It's a small scene, but it looks so natural and is so beautifully shot that it's one of my favorite moments of The Brotherhood of Satan.<br /><br />Finally, I mentioned the acting in my opening, so without going into a long-winded speech, I'll just say that The Brotherhood of Satan features Strother Martin and L.Q. Jones. Any film with these two guys is almost an automatic winner with me.",positive
"This was really the worst movie I've ever seen. Anyone who has seen it will know what I'm talking about. I saw it on Starz, so thank goodness I didn't waste my money. Please everyone, don't waste your time. I'm really suprised this wasn't straight to video.",negative
"Yes, it might be not historically accurate(actually only 6 soldiers of 9th rota were killed there), and yes, it has some mistakes and exaggeration(bended machine gun? come on! or the that ""history lesson"" about how Afghanistan was never conquered by anyone - educated Russian officer would know history much better than that - take for example British campaign in Afghanistan). And yes, it does not have multi-million dollars Hollywood-style special effects, but it's strongest point in showing soldier's life there, their relationships and their feelings when the best friends are being killed in front of their eyes. In my opinion 9ya rota really does a good job showing all those things.<br /><br />Again, movie has it weaknesses, but, in my opinion, it appears to be one of the strongest Russian movie for the past few years.<br /><br />8/10",negative
"This film is more than the story of Danton. It was a joint Polish French production filmed at the time of the beginning of the end of the Soviet system. It probably helped spur the Solidarity movement's union activity. It is more about Poland in the 20th century than the French Revolution. Solidarity began the end of the system. This film itself is historical by it's very existence....the rest is History.<br /><br />Robspiere, aka. totalitarian leaders. Danton, aka. Walensa. When one watches this film, one must remember the snowball which began in Poland. <br /><br />Actually, it could be useful for seeing the superpower struggle within the only superpower left.",positive
"Was curious to know the name of the Tuscan village where the filming in Italy was done. I know the villa's name: Villa San Girolamo, however, would like to know the exact location in Tuscany. The cinematography is excellent and it would be wonderful to visit that area. I would also be interested to know what the location of the desert shooting is as well. Travel extensively in Europe and Africa and would am interested in visiting the areas that the book and film were about. Please e-mail me with any information on the sites that any one might have. We would be very grateful. And if any one knows if the villa in Tuscany is still habitable, that would be awesome as well. I await any information and I thank you in advance for your time.",positive
"Although Embryo could have been a potentially thought provoking examination of bioethics, it degenerates into a stereotypical Frankenstein parable, putting across the by now monotonous lesson that there were some realms man was not meant to enter or study.<br /><br />Scientist Rock Hudson is experimenting with ways to prevent miscarried babies from dying. After success with a dog, he immediately jumps to humans-violating medical ethics and any sense of plausibility-with the equally unrealistic assistance of a hospital administrator. His experiment works too well, with some decidedly unpleasant side effects.<br /><br />Although Barbara Carrera is reasonably good in her role, and some of the animal training is spectacular, the film suffers from being too fantastical. Even though a message at the prologue assures viewers that this represents contemporary technology, the scientific work depicted looks far fetched even for the twenty-first century, let alone the mid- 1970s. Furthermore, the scene where Carrera is able to find a cure for the side effects of bioengineering simply by typing a question into a computer is laughable.",negative
"This is the worst movie of ALL TIME! It's one of those that is so ridiculous and the acting so bad that you turn off the video 1/3 into it so that you can use your time for better purposes like cleaning the toilet. If you actually watch the whole thing, GOD help you.",negative
"One of the worst shows of all time. The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for. The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors??? Never heard of any of them except Cole who was totally unbelievable in the part. Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show. The stories were as unbelievable as the actors. Lame would be the best way to describe it. Somehow this show makes a slug like Ice-T more believable as a cop, and he wrote the worst song about cops ever recorded.",negative
"The promise of Martin Donovan playing Jesus was, quite honestly, enough to get me to see the film. Definitely worthwhile; clever and funny without overdoing it. The low-quality filming was probably an appropriate effect but ended up being a little too jarring, and the ending sounded more like a PBS program than Hartley. Still, too many memorable lines and great moments for me to judge it harshly.",positive
"Does anyone remember the alternative comedy show THE COMIC STRIP PRESENTS . One edition featured Charles Bronson ( Robbie Coltrane ) being interviewed about his new movie GLC :<br /><br />"" It's about a man , an ordinary man whose wife and family gets wiped out by creeps and I have to hunt them down and kill them in a sadistic and graphic manner "" <br /><br />"" And after GLC what next for Bronson ? "" <br /><br />"" We're using a new angle . My family don't get wiped out but I go after creeps just the same "" <br /><br />This accurately describes THE EVIL THAT MEN DO . It's a Bronson vigilante thriller where his motivation isn't down to a blood feud but this leads to credibility becoming strained <br /><br />Bronson is a retired hit-man who isn't giving up his retirement for anything until someone shows him a video tape featuring interviews with the victims of "" The Doctor "" , not the legendary time traveler but a infamous expert on torture . It's never really explained why The Doctor is so infamous since any police state has a myriad of these sadists nor is it explained why The Doctor and his sister have ridiculous English accents <br /><br />As you may guess it's a lazily written movie and incidents happening because the screenwriter needs things to happen to further the plot no matter how unlikely they are like one of the bad guys getting invited to a threesome so he can be killed or things being revealed like The Doctor's sister being a lesbian so some T&A can be included <br /><br />In many ways it's like one of those nasty Chuck Norris vehicles that were being released at the same time , but the most disappointing thing is that the director is also the same man who made ICE COLD IN ALEX and THE GUNS OF NAVERONE two very well regarded war dramas that are often shown on Sunday afternoons . Believe me this movie won't be shown until well after the watershed",negative
This is a great film with an amazing cast. Crispen Glover is at his freakiest . His guitar solo is amazing. Also watch out for a cameo by William Burroughs. Truly a cult classic. This is on my top ten list. Don't miss this twisted film.,positive
"Every time this movie used to re-air on late night TV in the late 70s and early 80s I would always make time to sit in front of the TV and watch it. To see the lovely Kate Jackson, handsome Richard Long, the ""great"" Polly Bergen whom I've never seen anywhere else except for this TV movie, the endearing Tom Bosley, and another ""great"" whom I've never seen outside this movie, Celeste Holme. This is truly the love boat on a cruise to murder and mayhem and boy was it ever good!! And every time I would watch it I would always forget who the real murderer was.<br /><br />As expected, someone here is already criticizing the movie as if that really is a big help to anyone. This is a great TV movie and worth watching each and every time. I can't say that about half the movies I've seen this month.<br /><br />If you ever get a chance to watch it on TV someday, which isn't likely, watch it. In light of ""The Girl Most Likely To"" finally coming out this year on DVD, maybe there's hope for a DVD release of ""Death Cruise.""",positive
"''Meet Sherri..for an evening of Pleasure and Terror!'' Cheap special effects,cheesy lines,yep its the original 1978 Movie ''Nurse Sherri'' Starting Geoffrey Land as Peter Desmond,and Jill Jacobson as Sherri Martin and Directed by Al Adamson.<br /><br />The movie is about an evil ancient spirit that possesses a nurse at a hospital,then she starts killing doctors one by one.The acting was okay but some of the acting was robotic.The storyline was good but the sex scenes were just thrown in there probably to get more views.The directing was bad,And the special effects looked like a drawing,the effects didn't fool anybody.the death scenes were pretty good but the director mixed too many things in there that didn't make any sense like the sex scenes,the nudity,the football player,and many more.<br /><br />Overall Its A Good Movie,But Not The Best.<br /><br />7 Out Of 10",positive
